Medicine_Name,Category,Symptoms
Aspirin 1,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Telmisartan 2,Blood Pressure,"Hypertension, Cardiovascular Risk"
Gliclazide 3,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Metformin 4,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Metformin 5,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Amlodipine 6,Blood Pressure,"Hypertension, Angina"
Prednisolone 7,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Cetirizine 8,Antihistamine,"Allergy, Sneezing, Runny Nose"
Metformin 9,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Atorvastatin 10,Cholesterol,"High Cholesterol, Heart Disease"
Metformin 11,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Gliclazide 12,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Omeprazole 13,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Omeprazole 14,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Amlodipine 15,Blood Pressure,"Hypertension, Angina"
Gliclazide 16,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Prednisolone 17,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Ibuprofen 18,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Amlodipine 19,Blood Pressure,"Hypertension, Angina"
Telmisartan 20,Blood Pressure,"Hypertension, Cardiovascular Risk"
Metformin 21,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Aspirin 22,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Amlodipine 23,Blood Pressure,"Hypertension, Angina"
Amoxicillin 24,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Paracetamol 25,Pain Reliever,"Fever, Headache, Body Pain"
Levothyroxine 26,Thyroid,"Hypothyroidism, Thyroid Disorders"
Prednisolone 27,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Gliclazide 28,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Levothyroxine 29,Thyroid,"Hypothyroidism, Thyroid Disorders"
Amoxicillin 30,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Paracetamol 31,Pain Reliever,"Fever, Headache, Body Pain"
Ibuprofen 32,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Metformin 33,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Atorvastatin 34,Cholesterol,"High Cholesterol, Heart Disease"
Telmisartan 35,Blood Pressure,"Hypertension, Cardiovascular Risk"
Omeprazole 36,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Atorvastatin 37,Cholesterol,"High Cholesterol, Heart Disease"
Amoxicillin 38,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Aspirin 39,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Prednisolone 40,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Paracetamol 41,Pain Reliever,"Fever, Headache, Body Pain"
Aspirin 42,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Amoxicillin 43,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Atorvastatin 44,Cholesterol,"High Cholesterol, Heart Disease"
Amlodipine 45,Blood Pressure,"Hypertension, Angina"
Atorvastatin 46,Cholesterol,"High Cholesterol, Heart Disease"
Prednisolone 47,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Gliclazide 48,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Ibuprofen 49,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Amlodipine 50,Blood Pressure,"Hypertension, Angina"
Ranitidine 51,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Omeprazole 52,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Telmisartan 53,Blood Pressure,"Hypertension, Cardiovascular Risk"
Paracetamol 54,Pain Reliever,"Fever, Headache, Body Pain"
Ibuprofen 55,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Levothyroxine 56,Thyroid,"Hypothyroidism, Thyroid Disorders"
Prednisolone 57,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Gliclazide 58,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Cetirizine 59,Antihistamine,"Allergy, Sneezing, Runny Nose"
Levothyroxine 60,Thyroid,"Hypothyroidism, Thyroid Disorders"
Aspirin 61,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Amoxicillin 62,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Telmisartan 63,Blood Pressure,"Hypertension, Cardiovascular Risk"
Paracetamol 64,Pain Reliever,"Fever, Headache, Body Pain"
Ibuprofen 65,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Prednisolone 66,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Paracetamol 67,Pain Reliever,"Fever, Headache, Body Pain"
Telmisartan 68,Blood Pressure,"Hypertension, Cardiovascular Risk"
Metformin 69,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Levothyroxine 70,Thyroid,"Hypothyroidism, Thyroid Disorders"
Omeprazole 71,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Prednisolone 72,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Amlodipine 73,Blood Pressure,"Hypertension, Angina"
Losartan 74,Blood Pressure,"Hypertension, Kidney Protection"
Prednisolone 75,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Omeprazole 76,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Ibuprofen 77,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Metformin 78,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Amoxicillin 79,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Amlodipine 80,Blood Pressure,"Hypertension, Angina"
Metformin 81,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Ibuprofen 82,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Amoxicillin 83,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Metformin 84,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Aspirin 85,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Aspirin 86,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Amoxicillin 87,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Losartan 88,Blood Pressure,"Hypertension, Kidney Protection"
Omeprazole 89,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Aspirin 90,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Amlodipine 91,Blood Pressure,"Hypertension, Angina"
Gliclazide 92,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Amlodipine 93,Blood Pressure,"Hypertension, Angina"
Paracetamol 94,Pain Reliever,"Fever, Headache, Body Pain"
Aspirin 95,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Amoxicillin 96,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Amlodipine 97,Blood Pressure,"Hypertension, Angina"
