medicine_name,category,symptoms,cleaned_symptoms
Aspirin 1,Pain Reliever,"Fever, Pain, Heart Attack Prevention","fever, pain, heart attack prevention"
Telmisartan 2,Blood Pressure,"Hypertension, Cardiovascular Risk","hypertension, cardiovascular risk"
Gliclazide 3,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Metformin 4,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Metformin 5,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Amlodipine 6,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Prednisolone 7,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Cetirizine 8,Antihistamine,"Allergy, Sneezing, Runny Nose","allergy, sneezing, runny nose"
Metformin 9,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Atorvastatin 10,Cholesterol,"High Cholesterol, Heart Disease","high cholesterol, heart disease"
Metformin 11,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
Gliclazide 12,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Omeprazole 13,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Omeprazole 14,Acid Reflux,"Heartburn, GERD, Acid Reflux","heartburn, gerd, acid reflux"
Amlodipine 15,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Gliclazide 16,Diabetes,"Type 2 Diabetes, Blood Sugar Control","type 2 diabetes, blood sugar control"
Prednisolone 17,Steroid,"Inflammation, Asthma, Autoimmune Diseases","inflammation, asthma, autoimmune diseases"
Ibuprofen 18,Pain Reliever,"Inflammation, Headache, Muscle Pain","inflammation, headache, muscle pain"
Amlodipine 19,Blood Pressure,"Hypertension, Angina","hypertension, angina"
Telmisartan 20,Blood Pressure,"Hypertension, Cardiovascular Risk","hypertension, cardiovascular risk"
Metformin 21,Diabetes,"High Blood Sugar, Type 2 Diabetes","high blood sugar, type 2 diabetes"
